_id,BlockID,CheckweigherResultAvg,DateCreate,OriginCheckpointID,ProductComposite,ProductID,Size,Style,Content
11714009,102LMLI,36.025001525878906,2022-12-26 16:16:41.399,19.0,p34::s75::kPLACE,34,75,PLACE,
11714004,102LMLI,32.483333587646484,2022-12-26 16:17:04.963,19.0,p34::s75::kPLACE,34,75,PLACE,
11714005,102LMLI,35.000000953674316,2022-12-26 16:17:06.427,19.0,p34::s75::kPLACE,34,75,PLACE,
11714008,102LMLI,,2022-12-26 16:18:02.770,19.0,p34::s75::kPLACE,34,75,PLACE,
11727053,102LMLI,,2022-12-26 16:18:05.061,,p34,34,,,
11714006,102LMLI,34.720000457763675,2022-12-26 16:19:04.915,19.0,p34::s75::kPLACE,34,75,PLACE,
11727055,102LMLI,36.300000508626304,2022-12-26 16:20:47.617,,p34,34,,,
11727004,102LMLI,34.875000953674316,2022-12-26 16:25:44.581,19.0,p34::s75::kPLACE,34,75,PLACE,
11711018,102LMLI,35.900000762939456,2022-12-26 16:27:02.591,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727006,102LMLI,35.980001068115236,2022-12-26 16:29:15.127,19.0,p34::s75::kPLACE,34,75,PLACE,
11711017,102LMLI,35.766666412353516,2022-12-26 16:29:40.202,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727003,102LMLI,36.10000076293945,2022-12-26 16:30:32.812,,p34,34,,,
11727062,102LMLI,40.16000061035156,2022-12-26 16:30:54.591,,p34,34,,,
11727012,102LMLI,38.27500057220459,2022-12-26 16:30:55.686,,p34,34,,,
11714010,102LMLI,41.12000045776367,2022-12-26 16:30:56.730,19.0,p34::s75::kPLACE,34,75,PLACE,
11714011,102LMLI,38.300000508626304,2022-12-26 16:31:06.176,,p34,34,,,
11727005,102LMLI,38.41666730244955,2022-12-26 16:31:08.050,,p34,34,,,
11727085,102LMLI,37.480001068115236,2022-12-26 16:31:16.894,19.0,p34::s75::kPLACE,34,75,PLACE,
11727011,102LMLI,39.400000762939456,2022-12-26 16:31:18.111,,p32,32,,,
11727088,102LMLI,37.77500057220459,2022-12-26 16:31:35.677,,p34,34,,,
11711016,102LMLI,35.06666692097982,2022-12-26 16:31:39.997,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11506715,102LMLI,,2022-12-26 16:31:58.851,,p34,34,,,
11727086,102LMLI,35.03333409627279,2022-12-26 16:32:00.755,19.0,p34::s75::kPLACE,34,75,PLACE,
11711015,102LMLI,35.300000508626304,2022-12-26 16:32:04.601,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727068,102LMLI,44.41666730244955,2022-12-26 16:32:13.551,22.0,p34::s75::kPLACE,34,75,PLACE,
11711014,102LMLI,35.800001780192055,2022-12-26 16:32:27.359,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711013,102LMLI,35.60000133514404,2022-12-26 16:32:49.828,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711012,102LMLI,36.36000061035156,2022-12-26 16:33:20.024,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727081,102LMLI,36.0,2022-12-26 16:33:40.311,19.0,p34::s75::kPLACE,34,75,PLACE,
11711010,102LMLI,36.16666793823242,2022-12-26 16:33:45.000,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727064,102LMLI,34.05000114440918,2022-12-26 16:34:05.832,22.0,p32::s75,32,75,,
11727008,102LMLI,36.26000061035156,2022-12-26 16:34:07.951,23.0,p34::s75,34,75,,
11727066,102LMLI,38.40000057220459,2022-12-26 16:34:08.751,23.0,p34::s75,34,75,,
11727057,102LMLI,38.00000076293945,2022-12-26 16:34:12.821,19.0,p32::s75,32,75,,
11711009,102LMLI,35.03333409627279,2022-12-26 16:34:59.953,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711069,102LMLI,35.36000061035156,2022-12-26 16:35:24.090,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711023,102LMLI,35.57500076293945,2022-12-26 16:35:49.241,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711022,102LMLI,35.63333384195963,2022-12-26 16:36:15.345,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711021,102LMLI,36.166666666666664,2022-12-26 16:36:48.181,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711020,102LMLI,35.45000076293945,2022-12-26 16:37:10.393,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11714015,102LMLI,,2022-12-26 16:39:16.801,26.0,p34::s115::cBAGS,34,115,,BAGS
11727087,102LMLI,38.20000076293945,2022-12-26 16:39:19.467,,p34::cBAGS,34,,,BAGS
11727077,102LMLI,36.025001525878906,2022-12-26 16:39:50.659,19.0,p34::s75::kPLACE,34,75,PLACE,
11711019,102LMLI,34.960000610351564,2022-12-26 16:40:40.236,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727076,102LMLI,37.63333384195963,2022-12-26 16:40:46.109,19.0,p34::s75::kPLACE,34,75,PLACE,
11711084,102LMLI,35.250000953674316,2022-12-26 16:41:02.757,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711085,102LMLI,35.233333587646484,2022-12-26 16:41:25.230,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711083,102LMLI,35.47500133514404,2022-12-26 16:41:48.045,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727014,102LMLI,33.80000114440918,2022-12-26 16:41:58.401,38.0,p34::s95::kPLACE,34,95,PLACE,
11711082,102LMLI,34.76666768391927,2022-12-26 16:42:10.366,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711081,102LMLI,34.6000010172526,2022-12-26 16:42:30.341,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711045,102LMLI,34.86666742960612,2022-12-26 16:42:51.315,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711044,102LMLI,35.20000076293945,2022-12-26 16:43:13.865,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727082,102LMLI,37.74000091552735,2022-12-26 16:43:21.313,19.0,p34::s75::kPLACE,34,75,PLACE,
11711092,102LMLI,34.97500038146973,2022-12-26 16:43:38.078,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727028,102LMLI,30.400000254313152,2022-12-26 16:44:02.088,38.0,p34::s95::kPLACE,34,95,PLACE,
11727021,102LMLI,27.566666920979817,2022-12-26 16:44:08.437,38.0,p34::s95::kPLACE,34,95,PLACE,
