ID,CheckpointID,LocationName,FarScanCheckpointID,ParentID,ParentLocationName,ParentRemoteID,ParentProcessIsEnabled,ParentProcessIsOnline,PluginClassName,RemoteID,IsVisible,DisplayName,Role,HasDebugInfo,RequireExplicitRouting,ProcessIsEnabled,ProcessIsOnline,ProcessIsRouteBlocked,RouteWeight,UISide,Size,OutletStatus
1,1,GBF 1,,,,,,,GBFSimple,5,0,,GBF,0,0,1,1,0,1.0,,60/64,OK
2,2,GBF 2,,,,,,,GBFSimple,7,0,,GBF,0,0,1,1,0,1.0,,18g,OK
3,3,GBF 3,,,,,,,GBFSimple,8,0,,GBF,0,0,1,1,0,1.0,,60/64,OK
4,4,GBF 4,,,,,,,GBFSimple,10,0,,GBF,0,0,1,1,0,1.0,,75,OK
5,5,GBF 5,,,,,,,GBFSimple,11,0,,GBF,0,0,1,1,0,1.0,,60/64,OK
6,6,GBF 6,,,,,,,GBFSimple,13,0,,GBF,0,0,1,1,0,1.0,,54/56,OK
7,7,GBF 7,,,,,,,GBFSimple,14,0,,GBF,0,0,1,1,0,1.0,,95,OK
8,8,GBF 8,,,,,,,GBFSimple,15,0,,GBF,0,0,1,1,0,1.0,,75,OK
9,9,GBF 9,,,,,,,GBFSimple,16,0,,GBF,0,0,1,1,0,1.0,,75,OK
10,10,GBF 10,,,,,,,GBFSimple,17,0,,GBF,1,0,1,1,0,1.0,,95,OK
11,11,GBF 11,,,,,,,GBFSimple,18,0,,GBF,0,0,1,1,0,1.0,,95,OK
12,12,GBF 12,,,,,,,GBFSimple,19,0,,GBF,0,0,1,1,0,1.0,,95,OK
13,13,GBF 13,,,,,,,GBFSimple,20,0,,GBF,0,0,1,1,0,1.0,,165,OK
14,14,Unused - Router Pass/Fail Barcode,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
15,15,Unused -Lookup PTI,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
16,16,Unused -ln checkpoint 16,,,,,,,,remote id 16x,0,test,FruitDump,0,0,1,1,0,1.0,,,
17,17,Lower Line 2,,160.0,"Pack Table North 1 - Outlets 1,2",,1.0,1.0,PackTable,lower.1,0,Line 2,PacktablesNorth,0,0,1,1,0,1.0,RHS,32,Disabled
18,18,Lower Line 3,,186.0,"Pack Table South 1 - Outlets 3,4",,1.0,1.0,PackTable,lower.2,0,Line 3,PacktablesSouth,0,0,1,1,0,1.0,LHS,165,OK
19,19,Lower Line 4,,186.0,"Pack Table South 1 - Outlets 3,4",,1.0,1.0,PackTable,lower.3,0,Line 4,PacktablesSouth,0,0,1,1,0,1.0,RHS,75,Unassigned
20,20,Lower Line 5,,161.0,"Pack Table North 2 - Outlets 5,6",,1.0,1.0,PackTable,lower.4,0,Line 5,PacktablesNorth,0,0,1,1,0,1.0,LHS,21a,Disabled
21,21,Lower Line 6,,161.0,"Pack Table North 2 - Outlets 5,6",,1.0,1.0,PackTable,lower.5,0,Line 6,PacktablesNorth,0,0,1,1,0,1.0,RHS,15,Disabled
